no,space_name,class,is_parking,matched_keywords,n_rows,area_sum_m2
89994,"아파트(코아.계단25.23㎡,기계실10.02㎡,주차장24.165㎡)",비공조,Y,계단|주차|주차장|기계실|기계,1,59.4
89995,"아파트(코아,계단25.23㎡,주차장12.80㎡)",비공조,Y,계단|주차|주차장,1,38.0
89996,"아파트(코아,계단35.05㎡,기계실227.48㎡)",비공조,N,계단|기계실|기계,1,262.5
89997,"아파트(코아,계단42.61㎡,관리실8.06㎡)",비공조,N,계단,1,50.7
89998,주차장(자주식3대),비공조,Y,주차|주차장,1,66.0
89999,"기타(휴게실,로비,계단)",비공조,N,계단,1,108.9
90000,"기타(휴게실,복도,계단)",비공조,N,계단|복도,1,162.6
90001,"계단실,로비,승강기,홀",비공조,N,계단|계단실|승강기,1,87.7
90002,"주차장(80.99),계단실(10.5)",비공조,Y,계단|계단실|주차|주차장,1,91.5
90003,주차장9.18,비공조,Y,주차|주차장,1,94.9
90004,다세대주택(계단실(면적제외:9.60m2)),비공조,N,계단|계단실|면적제외,1,9.6
90005,계단실:11.96경비실:9.66,비공조,N,계단|계단실,1,21.6
90006,"병원297.08㎡,연결통로3.4㎡",비공조,N,통로,1,300.5
90007,"소매점84.30,주차장20.79",비공조,Y,주차|주차장,1,104.8
90008,판매시설(멀티미디어문화컨텐츠설비제공업소:1호),비공조,N,설비,1,241.1
90009,"엘리베이터,기계실,계단(연면적제외)",비공조,N,계단|엘리베이터|기계실|기계|연면적제외|면적제외,1,91.8
90010,다락및승강기(연면적제외),비공조,N,승강기|연면적제외|면적제외,1,42.9
90011,계단실/현관,비공조,N,계단|계단실,1,26.3
90012,"주차장:132.54㎡,계단실:10.32㎡",비공조,Y,계단|계단실|주차|주차장,1,142.9
90013,오피스텔(옥외계단),비공조,N,계단|옥외,1,11.8
90014,기타제2종근생(옥외계단),비공조,N,계단|옥외,1,1.0
90015,"옥상정원,휀룸(연면적제외)",비공조,N,휀|연면적제외|면적제외,1,29.5
90016,"현관,화장실,계단",비공조,N,계단|화장실,1,38.5
90017,옥탑(연면적제외됨),비공조,N,옥탑|연면적제외|면적제외,1,11.0
90018,주차장47.26,비공조,Y,주차|주차장,1,47.3
90019,"기전실,코아",비공조,N,기전|전실,1,245.4
90020,단독주택(다중주택계단실)(연면적제외),비공조,N,계단|계단실|연면적제외|면적제외,1,7.0
90021,"의료시설(장례식장,기계실,전기실,창고)",비공조,N,기계실|기계|전기실|전기,1,282.0
90022,"의료시설(장례식장,주방,전시실,사무실,상담실,매점,탈의/샤워실)",비공조,N,샤워실,1,1702.7
90023,fan룸(연면적제외),비공조,N,fan|연면적제외|면적제외,1,9.0
90024,"발전기실,전기실,통신실,기계실,방재실",비공조,N,기계실|기계|전기실|전기|발전|통신실|방재실,1,100.0
90025,주차장(39.96)주택(44.40:1가구),비공조,Y,주차|주차장,1,84.4
90026,"소매점66.84㎡,주차장32.00㎡",비공조,Y,주차|주차장,1,98.8
90027,"근린생활시설(소매점):70.69㎡,주차장:28.80㎡",비공조,Y,주차|주차장,1,99.5
90028,대피실(59.5)보일러실(22.96),비공조,N,보일러|대피실,1,82.5
90029,"다세대주택(1세대),주차장(연면적제외):29.88",비공조,Y,주차|주차장|연면적제외|면적제외,1,94.2
90030,"기계실,전기실,발전기실,공용창고",비공조,N,기계실|기계|전기실|전기|발전,1,474.4
90031,"휴게실,관리실,mdf실",비공조,N,mdf,1,123.5
90032,"운영사무실,전기실",비공조,N,전기실|전기,1,643.3
90033,"다세대주택(도시형생활주택(계단실,연면적제외))",비공조,N,계단|계단실|연면적제외|면적제외,1,20.7
90034,다락/옥탑(연면적제외),비공조,N,옥탑|연면적제외|면적제외,1,78.9
90035,"다세대:49.08,주차장:42.12",비공조,Y,주차|주차장,1,91.2
90036,물탱크실(연면적제외-12.92),비공조,N,물탱|물탱크|탱크|연면적제외|면적제외,1,12.9
90037,(연면적에서제외-9.90),비공조,N,연면적에서,1,9.9
90038,물탱크실(연면적제외-10.24),비공조,N,물탱|물탱크|탱크|연면적제외|면적제외,1,10.2
90039,"주차장(54.06),다세대(44.58)",비공조,Y,주차|주차장,1,98.6
90040,"주차장:34.74,다세대주택(1세대):77.25",비공조,Y,주차|주차장,1,112.0
90041,"근린생활시설(주차장,기계,전기실)",비공조,Y,주차|주차장|기계|전기실|전기,1,194.5
90042,"차고15.93㎡,주택92.43㎡(2세대)",비공조,Y,차고,1,108.4
90043,"근린생활시설215.66㎡,펌프실19.20㎡",비공조,N,펌프,1,234.9
90044,계단실:35.21/카리프트:24.50/관리실:16.20:방재실:9.00,비공조,N,계단|계단실|리프트|방재실,1,84.9
90045,"제2종근린생활시설(기타제2종근린생활시설(계단실,기계실))",비공조,N,계단|계단실|기계실|기계,1,39.0
90046,elev및기계실(연면적제외),비공조,N,elev|기계실|기계|연면적제외|면적제외,1,15.8
90047,계단실(주차장:166.72㎡연면적제외),비공조,Y,계단|계단실|주차|주차장|연면적제외|면적제외,1,10.9
90048,"계단실,elev,현관,홀,관리사무실",비공조,N,계단|계단실|elev,1,44.4
90049,"(고시원:68.98m2,주차장:28.53m2)",비공조,Y,주차|주차장,1,97.5
90050,"기계실774.42,공용부분456.99(계단실,기타)",비공조,N,계단|계단실|기계실|기계,1,1231.4
90051,공용부분(홀및로비통로),비공조,N,통로,1,865.5
